id,category_he,category_en,question_he,display_order,asset_type,search_keywords_hebrew,created_at,updated_at
1,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה המשמעות הקלינית של לשון חיוורת ונפוחה עם סימני שיניים?,1,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
2,אבחון דופק ולשון,Pulse & Tongue Diagnosis,על מה מעיד חיפוי לשון צהוב ועבה במחמם האמצעי?,2,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
3,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה ההבדל באבחנה בין לשון סגולה (Purple) לבין לשון אדומה כהה (Crimson)?,3,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
4,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מהי המשמעות של חריץ מרכזי המגיע עד קצה הלשון?,4,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
5,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה מעיד קצה לשון אדום מאוד עם נקודות אדומות (Red Points)?,5,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
6,אבחון דופק ולשון,Pulse & Tongue Diagnosis,כיצד מתבטא חוסר יין (Yin Def) במראה הלשון?,6,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
7,אבחון דופק ולשון,Pulse & Tongue Diagnosis,"האם ורידים תת-לשוניים (Sublingual) כהים מוזכרים, ומה משמעותם?",7,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
8,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה המשמעות של לשון רועדת (Quivering) אצל מטופל מבוגר?,8,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
9,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה ההבדל בין דופק מהיר (Rapid) לדופק דהור (Racing/Hurried)?,9,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
10,אריכות ימים ואיכות חיים,Longevity & Dignity,"במשפט אחד, מהו הקושי הבריאותי העיקרי שמפריע לאיכות החיים שלך כיום?",10,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
11,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם היציאות שלך סדירות, או שאת/ה סובל/ת מעצירות כרונית או משלשולים תכופים?",11,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
12,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם יש לך תיאבון בריא ואת/ה מצליח/ה לשמור על משקל יציב, או שיש ירידה במשקל ובחשק לאכול?",12,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
13,אריכות ימים ואיכות חיים,Longevity & Dignity,האם את/ה חווה קוצר נשימה או התעייפות מהירה גם במאמץ קל?,13,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
14,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם שנת הלילה שלך שקטה, או שאת/ה מתעורר/ת לעיתים קרובות?",14,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
15,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם את/ה מרגיש/ה לעיתים סחרחורת, חוסר יציבות בהליכה, או חשש מנפילה?",15,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
16,אריכות ימים ואיכות חיים,Longevity & Dignity,האם כאבים במפרקים או בגב מגבילים את התנועה שלך בבית או בחוץ?,16,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
17,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם את/ה סובל/ת מקור קיצוני בכפות הידיים והרגליים, או דווקא מגלי חום והזעה?",17,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
