id,source_table,source_id,asset_type,category,content_hebrew,title_hebrew,description_hebrew,keywords,acupoints,metadata,search_vector,embedding,created_at,updated_at
1,bible_rag_clinical_cases_20260129,179,clinical_case,allergies,"אסתמה אלרגית - מניעה? אסתמה אלרגית (ריאות קי חלש + רוח) מונעת בחיזוק ריאות: LU9, BL13, REN22. LU9: מחזק ריאות קי | BL13: מחזק ריאות | REN22: פותח חזה בו פנג טאנג (补肺汤) - מחזק ריאות קי",אסתמה אלרגית - מניעה?,LU9: מחזק ריאות קי | BL13: מחזק ריאות | REN22: פותח חזה,"[""חלש"",""אסתמה"",""בחיזוק"",""ריאות"",""אלרגית מניעה"",""אסתמה אלרגית"",""אלרגית"",""מונעת בחיזוק"",""מניעה""]","[""LU9"",""BL13"",""REN22""]",,"'bl13':14,20,40 'lu9':13,16,36 'ren22':15,23,43 'אלרגית':2,5,34 'אסתמה':1,4,33 'בו':26 'בחיזוק':11 'חזה':25,45 'חלש':8 'טאנג':28 'מונעת':10 'מחזק':17,21,30,37,41 'מניעה':3,35 'פותח':24,44 'פנג':27 'קי':7,19,32,39 'רוח':9 'ריאות':6,12,18,22,31,38,42 '补肺汤':29",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
2,bible_rag_clinical_cases_20260129,180,clinical_case,allergies,"פריחה אלרגית - מה עושים? פריחה אדומה מגרדת (רוח חום תוקפת עור) מטופלת בפיזור רוח חום: LI11, SP10, LV3. LI11: מפזר חום עור | SP10: מנקה דם | LV3: מפזר חום ירוק סיאו פנג ז'ינג סאן (消风散) - מפזר רוח עור",פריחה אלרגית - מה עושים?,LI11: מפזר חום עור | SP10: מנקה דם | LV3: מפזר חום ירוק,"[""תוקפת"",""מה עושים"",""פריחה"",""עור"",""תוקפת עור"",""אלרגית"",""עושים"",""חום"",""חום תוקפת"",""אלרגית מה"",""פריחה אלרגית""]","[""LV3"",""SP10"",""LI11""]",,"'li11':16,19,43 'lv3':18,26,50 'sp10':17,23,47 'אדומה':6 'אלרגית':2,40 'בפיזור':13 'דם':25,49 'ז':32 'חום':9,15,21,28,45,52 'ינג':33 'ירוק':29,53 'מגרדת':7 'מה':3,41 'מטופלת':12 'מנקה':24,48 'מפזר':20,27,36,44,51 'סאן':34 'סיאו':30 'עור':11,22,38,46 'עושים':4,42 'פנג':31 'פריחה':1,5,39 'רוח':8,14,37 'תוקפת':10 '消风散':35",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
3,bible_rag_clinical_cases_20260129,181,clinical_case,allergies,"אקזמה אלרגית - גישה ארוכת טווח? אקזמה אלרגית (דם חום/רוח פנימית) מטופלת בפיזור רוח, ניקוי דם: SP10, LI11, DU14. SP10: מנקה דם אלרגי | LI11: מפזר חום | DU14: מפזר פתוגן לונג דאן שיה גאו טאנג (龙胆泻肝汤) - מנקה חום ירוק עור",אקזמה אלרגית - גישה ארוכת טווח?,SP10: מנקה דם אלרגי | LI11: מפזר חום | DU14: מפזר פתוגן,"[""פנימית מטופלת"",""גישה ארוכת"",""טווח"",""ארוכת טווח"",""אקזמה אלרגית"",""אלרגית גישה"",""בפיזור רוח"",""בפיזור"",""רוח ניקוי"",""גישה"",""אקזמה"",""אלרגית"",""ארוכת""]","[""SP10"",""DU14"",""LI11""]",,"'du14':19,27,52 'li11':18,24,49 'sp10':17,20,45 'אלרגי':23,48 'אלרגית':2,7,41 'אקזמה':1,6,40 'ארוכת':4,43 'בפיזור':13 'גאו':33 'גישה':3,42 'דאן':31 'דם':8,16,22,47 'חום':9,26,37,51 'טאנג':34 'טווח':5,44 'ירוק':38 'לונג':30 'מטופלת':12 'מנקה':21,36,46 'מפזר':25,28,50,53 'ניקוי':15 'עור':39 'פנימית':11 'פתוגן':29,54 'רוח':10,14 'שיה':32 '龙胆泻肝汤':35",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
4,bible_rag_clinical_cases_20260129,182,clinical_case,allergies,"רגישות לחלב - גישה TCM? רגישות לחלב (טחול חלש + לחות קרה) מטופלת בחיזוק טחול, ניקוז לחות: ST36, SP9, REN12. ST36: מחזק טחול | SP9: מנקז לחות | REN12: מחזק קיבה פינג ווי סאן (平胃散) - מייבש לחות מחלב",רגישות לחלב - גישה TCM?,ST36: מחזק טחול | SP9: מנקז לחות | REN12: מחזק קיבה,"[""לב"",""לחות"",""רגישות"",""קרה מטופלת"",""גישה"",""ניקוז לחות"",""לחלב"",""טחול ניקוז"",""לחלב גישה"",""רגישות לחלב""]","[""REN12"",""ST36"",""SP9""]",,"'ren12':18,25,45 'sp9':17,22,42 'st36':16,19,39 'tcm':4,38 'בחיזוק':12 'גישה':3,37 'ווי':29 'חלש':8 'טחול':7,13,21,41 'לחות':9,15,24,33,44 'לחלב':2,6,36 'מחזק':20,26,40,46 'מחלב':34 'מטופלת':11 'מייבש':32 'מנקז':23,43 'ניקוז':14 'סאן':30 'פינג':28 'קיבה':27,47 'קרה':10 'רגישות':1,5,35 '平胃散':31",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
5,bible_rag_clinical_cases_20260129,183,clinical_case,allergies,"אלרגיה לבוטנים - סיבה? אלרגיה לבוטנים (חום רטוב/רעלים) מטופלת בניקוי חום, ניקוי רעלים: LI11, SP10. LI11: מפזר חום רעיל | SP10: מנקה דם בה טו טאנג (白虎汤) - מקרר חום רטוב מאלרגנים",אלרגיה לבוטנים - סיבה?,LI11: מפזר חום רעיל | SP10: מנקה דם,"[""לבוטנים"",""לבוטנים חום"",""חום רטוב"",""לב"",""לבוטנים סיבה"",""אלרגיה לבוטנים"",""סיבה"",""אלרגיה"",""בניקוי""]","[""SP10"",""LI11""]",,"'li11':14,16,34 'sp10':15,20,38 'אלרגיה':1,4,31 'בה':23 'בניקוי':10 'דם':22,40 'חום':6,11,18,28,36 'טאנג':25 'טו':24 'לבוטנים':2,5,32 'מאלרגנים':30 'מטופלת':9 'מנקה':21,39 'מפזר':17,35 'מקרר':27 'ניקוי':12 'סיבה':3,33 'רטוב':7,29 'רעיל':19,37 'רעלים':8,13 '白虎汤':26",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
6,bible_rag_clinical_cases_20260129,1668,clinical_case,tcm_supplements,"כורכום - נקודות תמיכה? כורכום מנקה חום. LI11, LV3. LI11: חום | LV3: כבד צ'ינג האו",כורכום - נקודות תמיכה?,LI11: חום | LV3: כבד,"[""כורכום נקודות"",""תמיכה"",""מנקה חום"",""נקודות תמיכה"",""מנקה"",""כורכום"",""חום"",""נקודות"",""כורכום מנקה""]","[""LI11"",""LV3""]",,"'li11':7,9,19 'lv3':8,11,21 'האו':15 'חום':6,10,20 'ינג':14 'כבד':12,22 'כורכום':1,4,16 'מנקה':5 'נקודות':2,17 'צ':13 'תמיכה':3,18",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
7,bible_rag_clinical_cases_20260129,244,clinical_case,anxiety,"דיכאון עם בכי? דיכאון בכי (ריאות קי חסר) - LU7, LU9, HT7. LU7: ריאות | LU9: קי ריאות | HT7: שן בה זי יינג פי טאנג (补肺养脾汤) - דכאון ריאות",דיכאון עם בכי?,LU7: ריאות | LU9: קי ריאות | HT7: שן,"[""דיכאון בכי"",""דיכאון"",""בכי"",""בכי ריאות"",""ריאות"",""עם בכי"",""דיכאון עם""]","[""LU7"",""HT7"",""LU9""]",,"'ht7':11,17,35 'lu7':9,12,30 'lu9':10,14,32 'בה':19 'בכי':3,5,29 'דיכאון':1,4,27 'דכאון':25 'זי':20 'חסר':8 'טאנג':23 'יינג':21 'עם':2,28 'פי':22 'קי':7,15,33 'ריאות':6,13,16,26,31,34 'שן':18,36 '补肺养脾汤':24",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
8,bible_rag_clinical_cases_20260129,245,clinical_case,anxiety,"עצבות ללא סיבה? עצבות (כבד קי תקוע) - LV3, PC6, LI4. LV3: מפזר כבד | PC6: מרגיע | LI4: שער שיאו יאו סאן (逍遥散) - עצבות כבד",עצבות ללא סיבה?,LV3: מפזר כבד | PC6: מרגיע | LI4: שער,"[""עצבות כבד"",""ללא"",""תקוע"",""ללא סיבה"",""סיבה"",""עצבות"",""כבד קי"",""כבד"",""עצבות ללא""]","[""PC6"",""LV3"",""LI4""]",,"'li4':10,16,32 'lv3':8,11,27 'pc6':9,14,30 'יאו':19 'כבד':5,13,23,29 'ללא':2,25 'מפזר':12,28 'מרגיע':15,31 'סאן':20 'סיבה':3,26 'עצבות':1,4,22,24 'קי':6 'שיאו':18 'שער':17,33 'תקוע':7 '逍遥散':21",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
9,bible_rag_clinical_cases_20260129,246,clinical_case,anxiety,"חרדה+דיכאון - גישה? חרדה+דיכאון (שילוב לב/טחול/כבד) - HT7, LV3, ST36. HT7: לב | LV3: כבד | ST36: טחול גן לון שיה וו טאנג (甘露四物汤) - מאזן רגשות",חרדה+דיכאון - גישה?,HT7: לב | LV3: כבד | ST36: טחול,"[""חרדה דיכאון"",""טחול כבד"",""לב טחול"",""דיכאון"",""גישה"",""שילוב לב"",""דיכאון גישה"",""חרדה""]","[""HT7"",""LV3"",""ST36""]",,"'ht7':10,13,30 'lv3':11,15,32 'st36':12,17,34 'גישה':3,29 'גן':19 'דיכאון':2,5,28 'וו':22 'חרדה':1,4,27 'טאנג':23 'טחול':8,18,35 'כבד':9,16,33 'לב':7,14,31 'לון':20 'מאזן':25 'רגשות':26 'שיה':21 'שילוב':6 '甘露四物汤':24",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
10,bible_rag_clinical_cases_20260129,247,clinical_case,anxiety,"נדודי שינה מחרדה? חרדה שינה (שן מוסחת) - HT7, PC6, ANMIAN, KI3. HT7: שינה | PC6: מרגיע | ANMIAN: שינה | KI3: יין סואן זאו רן טאנג (酸枣仁汤) - שינה חרדה",נדודי שינה מחרדה?,HT7: שינה | PC6: מרגיע | ANMIAN: שינה | KI3: יין,"[""שינה שן"",""מחרדה"",""שן מוסחת"",""נדודי"",""נדודי שינה"",""שינה"",""חרדה שינה"",""מוסחת"",""חרדה"",""שינה מחרדה""]","[""HT7"",""KI3"",""PC6""]",,"'anmian':10,16,34 'ht7':8,12,30 'ki3':11,18,36 'pc6':9,14,32 'זאו':21 'חרדה':4,26 'טאנג':23 'יין':19,37 'מוסחת':7 'מחרדה':3,29 'מרגיע':15,33 'נדודי':1,27 'סואן':20 'רן':22 'שינה':2,5,13,17,25,28,31,35 'שן':6 '酸枣仁汤':24",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
