id,category,number,name_hebrew,name_english,pinyin,clinical_description,acupuncture_points,treatment_principle,question_hebrew,question_english,body_system,difficulty_level,clinical_priority,created_at
E001,Five Elements,1,עץ - כבד,Wood - Liver,-,"Signs: Wiry pulse, green-blue tongue sides. Symptoms: Anger, headaches, eye issues","LV3, LV14, GB34, LV8","Soothe Liver, move Qi",?איך מאבחנים ומטפלים באלמנט עץ - כבד,How to diagnose and treat Wood - Liver element imbalances?,Organ meridian system,Advanced,High,2026-01-25 04:43:39.745104
E002,Five Elements,2,אש - לב,Fire - Heart,-,"Signs: Full rapid pulse, red tongue tip. Symptoms: Insomnia, anxiety, palpitations","HT7, HT8, PC6, PC7","Clear Heart fire, calm Spirit",?איך מאבחנים ומטפלים באלמנט אש - לב,How to diagnose and treat Fire - Heart element imbalances?,Organ meridian system,Advanced,High,2026-01-25 04:43:39.745104
E003,Five Elements,3,אדמה - טחול,Earth - Spleen,-,"Signs: Soft pulse, yellow tongue coating. Symptoms: Digestion, worry, obesity","SP6, SP9, ST36, CV12","Tonify Spleen, drain Damp",?איך מאבחנים ומטפלים באלמנט אדמה - טחול,How to diagnose and treat Earth - Spleen element imbalances?,Organ meridian system,Advanced,High,2026-01-25 04:43:39.745104
E004,Five Elements,4,מתכת - ריאה,Metal - Lung,-,"Signs: Floating weak pulse, pale dry tongue. Symptoms: Breathing, sadness, skin","LU7, LU9, LI4, LI11","Tonify Lung Qi, release exterior",?איך מאבחנים ומטפלים באלמנט מתכת - ריאה,How to diagnose and treat Metal - Lung element imbalances?,Organ meridian system,Advanced,High,2026-01-25 04:43:39.745104
E005,Five Elements,5,מים - כליות,Water - Kidney,-,"Signs: Deep weak pulse, dark puffy tongue. Symptoms: Fear, bones, urinary, fertility","KI3, BL23, CV4, DU4",Tonify Kidney Yin-Yang,?איך מאבחנים ומטפלים באלמנט מים - כליות,How to diagnose and treat Water - Kidney element imbalances?,Organ meridian system,Advanced,High,2026-01-25 04:43:39.745104
P001,Pulse Diagnosis,1,דופק צף,Floating Pulse,Fu Mai,"Felt superficially, external pathogen","LI4, LU7, GB20, DU14","Release exterior, disperse Wind",?מהו דופק צף ומה המשמעות הקלינית שלו,What is Floating Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P002,Pulse Diagnosis,2,דופק עמוק,Deep Pulse,Chen Mai,"Only felt with heavy pressure, interior condition","CV12, ST36, SP6, BL20","Tonify interior, strengthen Qi",?מהו דופק עמוק ומה המשמעות הקלינית שלו,What is Deep Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P003,Pulse Diagnosis,3,דופק איטי,Slow Pulse,Chi Mai,"<60 bpm, Cold or Yang deficiency","CV4, CV6, ST36, BL23 + moxa","Warm Yang, disperse Cold",?מהו דופק איטי ומה המשמעות הקלינית שלו,What is Slow Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P004,Pulse Diagnosis,4,דופק מהיר,Rapid Pulse,Shuo Mai,">90 bpm, Heat or Yin deficiency","LI11, GV14, KI6, HT8","Clear heat, cool Blood",?מהו דופק מהיר ומה המשמעות הקלינית שלו,What is Rapid Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P005,Pulse Diagnosis,5,דופק מלא,Full Pulse,Shi Mai,"Strong at all levels, excess syndrome","LI11, ST44, LI4, ST25","Reduce excess, drain",?מהו דופק מלא ומה המשמעות הקלינית שלו,What is Full Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P006,Pulse Diagnosis,6,דופק ריק,Empty Pulse,Xu Mai,"Weak, deficiency syndrome","CV12, CV6, ST36, SP6, BL20",Tonify Qi and Blood,?מהו דופק ריק ומה המשמעות הקלינית שלו,What is Empty Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P007,Pulse Diagnosis,7,דופק חלקלק,Slippery Pulse,Hua Mai,"Smooth flow, Phlegm or pregnancy","ST40, SP9, CV12, LU5","Resolve Phlegm, dry Dampness",?מהו דופק חלקלק ומה המשמעות הקלינית שלו,What is Slippery Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P008,Pulse Diagnosis,8,דופק מחוספס,Choppy Pulse,Se Mai,"Rough, Blood stasis or deficiency","SP10, SP6, LV3, BL17","Move Blood, break stasis",?מהו דופק מחוספס ומה המשמעות הקלינית שלו,What is Choppy Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P009,Pulse Diagnosis,9,דופק ארוך,Long Pulse,Chang Mai,"Extends beyond normal position, excess or health","LV3, GB34, LI4","Soothe Liver, move Qi",?מהו דופק ארוך ומה המשמעות הקלינית שלו,What is Long Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P010,Pulse Diagnosis,10,דופק קצר,Short Pulse,Duan Mai,"Shorter than normal, Qi deficiency","CV6, ST36, LU9, PC6","Tonify Qi, regulate",?מהו דופק קצר ומה המשמעות הקלינית שלו,What is Short Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P011,Pulse Diagnosis,11,דופק חוטי,Thready Pulse,Xi Mai,"Thin like thread, Blood/Yin deficiency","SP6, ST36, BL17, BL20, LV8","Build Blood, nourish Yin",?מהו דופק חוטי ומה המשמעות הקלינית שלו,What is Thready Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P012,Pulse Diagnosis,12,דופק רחב,Large Pulse,Hong Mai,"Wide and large, excess heat","LI11, ST44, DU14, LI4",Clear excess heat,?מהו דופק רחב ומה המשמעות הקלינית שלו,What is Large Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P013,Pulse Diagnosis,13,דופק מתוח,Wiry Pulse,Xian Mai,"Taut like string, Liver Qi stagnation","LV3, LV14, GB34, PC6","Soothe Liver, move Qi",?מהו דופק מתוח ומה המשמעות הקלינית שלו,What is Wiry Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P014,Pulse Diagnosis,14,דופק מהודק,Tight Pulse,Jin Mai,"Tighter than wiry, Cold or pain","CV6, ST36, SP6 + moxa","Warm meridians, stop pain",?מהו דופק מהודק ומה המשמעות הקלינית שלו,What is Tight Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P015,Pulse Diagnosis,15,דופק רך,Soft Pulse,Ru Mai,"Soft and floating, Dampness","SP9, SP6, ST36, CV12","Strengthen Spleen, dry Damp",?מהו דופק רך ומה המשמעות הקלינית שלו,What is Soft Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
