id,category,question_hebrew,answer_hebrew,acupoint_codes,description_hebrew,pharmacopeia_hebrew,source_file,created_at,updated_at,search_vector,search_keywords,search_updated_at
23,adolescent,אקנה בגיל ההתבגרות - סיבה?,"אקנה (חום לחות קיבה/ריאות) מטופל בניקוי חום: LI11, ST40, SP10.","[""SP10"",""ST40"",""LI11""]",LI11: מפזר חום | ST40: מנקז לחות | SP10: מנקה דם,הו וונג טאנג (黄连解毒汤) - אקנה מתבגרים,adolescent_13_18_hebrew_100qa.csv,2026-01-22 16:53:23.892157+00,2026-01-30 10:31:31.587105+00,"'adolescent':16 'li11':13 'sp10':15 'st40':14 'אקנה':1,5 'בגיל':2 'בניקוי':11 'ההתבגרות':3 'חום':6,12 'לחות':7 'מטופל':10 'סיבה':4 'קיבה':8 'ריאות':9","[""ריאות מטופל"",""קיבה ריאות"",""אקנה בגיל"",""בגיל ההתבגרות"",""ההתבגרות"",""לחות"",""לחות קיבה"",""חום לחות"",""סיבה"",""אקנה"",""בגיל"",""ההתבגרות סיבה""]",2026-01-30 10:31:31.587105+00
24,adolescent,שינויי מצב רוח 14-16 - טיפול?,"שינויי רוח (כבד קי תקוע) מטופל בפיזור קי: LV3, PC6, LI4.","[""PC6"",""LV3"",""LI4""]",LV3: מפזר קי כבד | PC6: מרגיע | LI4: שער,שיאו יאו סאן (逍遥散) - רוחות מתבגרים,adolescent_13_18_hebrew_100qa.csv,2026-01-22 16:53:23.892157+00,2026-01-30 10:31:31.587105+00,"'-16':5 '14':4 'adolescent':18 'li4':17 'lv3':15 'pc6':16 'בפיזור':13 'טיפול':6 'כבד':9 'מטופל':12 'מצב':2 'קי':10,14 'רוח':3,8 'שינויי':1,7 'תקוע':11","[""טיפול"",""מצב"",""מצב רוח"",""תקוע"",""רוח טיפול"",""שינויי מצב"",""בפיזור"",""מטופל בפיזור"",""רוח"",""מטופל"",""שינויי""]",2026-01-30 10:31:31.587105+00
25,adolescent,צמיחה מהירה - תמיכה?,"צמיחה מהירה (כליות ג'ינג חזק) תמיכה: KI3, BL23, ST36.","[""BL23"",""ST36"",""KI3""]",KI3: ג'ינג גדילה | BL23: כליות | ST36: עצמות,שו סין ג'י זי טאנג (熟地鸡子汤) - גדילה נערים,adolescent_13_18_hebrew_100qa.csv,2026-01-22 16:53:23.892157+00,2026-01-30 10:31:31.587105+00,"'adolescent':14 'bl23':12 'ki3':11 'st36':13 'ג':7 'חזק':9 'ינג':8 'כליות':6 'מהירה':2,5 'צמיחה':1,4 'תמיכה':3,10","[""תמיכה"",""צמיחה מהירה"",""מהירה כליות"",""ג ינג"",""חזק תמיכה"",""כליות"",""צמיחה"",""מהירה תמיכה"",""מהירה""]",2026-01-30 10:31:31.587105+00
26,adolescent,קושי בריכוז בלימודים?,"ריכוז חלש (טחול/כליות) - ST36, SP6, DU20.","[""SP6"",""ST36"",""DU20""]",ST36: טחול יי | SP6: ריכוז | DU20: מוח,גו פי באן שיה טאנג (固脾补肾汤) - ריכוז לימודים,adolescent_13_18_hebrew_100qa.csv,2026-01-22 16:53:23.892157+00,2026-01-30 10:31:31.587105+00,'adolescent':11 'du20':10 'sp6':9 'st36':8 'בלימודים':3 'בריכוז':2 'חלש':5 'טחול':6 'כליות':7 'קושי':1 'ריכוז':4,"[""ריכוז חלש"",""חלש טחול"",""חלש"",""בריכוז"",""קושי בריכוז"",""בלימודים"",""טחול"",""ריכוז"",""קושי"",""בריכוז בלימודים""]",2026-01-30 10:31:31.587105+00
27,adolescent,עייפות אחרי בית ספר?,"עייפות (קי חסר) - ST36, REN4, SP6.","[""SP6"",""REN4"",""ST36""]",ST36: קי | REN4: דאנטיאן | SP6: מזין,סי ג'ון זי טאנג (四君子汤) - אנרגיה נערים,adolescent_13_18_hebrew_100qa.csv,2026-01-22 16:53:23.892157+00,2026-01-30 10:31:31.587105+00,"'adolescent':11 'ren4':9 'sp6':10 'st36':8 'אחרי':2 'בית':3 'חסר':7 'ספר':4 'עייפות':1,5 'קי':6","[""עייפות אחרי"",""בית"",""אחרי בית"",""ספר"",""עייפות קי"",""עייפות"",""קי חסר"",""חסר"",""בית ספר"",""אחרי""]",2026-01-30 10:31:31.587105+00
28,adolescent,שומניות בעור בגיל 15?,"שומניות (לחות חום) - LI11, ST40, SP6.","[""SP6"",""ST40"",""LI11""]",LI11: חום | ST40: לחות | SP6: מנקז,קינג רוי טאנג (清热汤) - שומניות נעורים,adolescent_13_18_hebrew_100qa.csv,2026-01-22 16:53:23.892157+00,2026-01-30 10:31:31.587105+00,"'15':4 'adolescent':11 'li11':8 'sp6':10 'st40':9 'בגיל':3 'בעור':2 'חום':7 'לחות':6 'שומניות':1,5","[""לחות"",""עור"",""בעור בגיל"",""בעור"",""שומניות לחות"",""חום"",""שומניות"",""בגיל"",""שומניות בעור"",""לחות חום""]",2026-01-30 10:31:31.587105+00
29,adolescent,כאבי גדילה בברכיים?,"כאבי גדילה (כליות חסרות) - BL23, ST36, GB34.","[""GB34"",""BL23"",""ST36""]",BL23: כליות | ST36: עצמות | GB34: גידים,דו ז'ונג טן שוא (独活寄生汤) - כאבי גדילה,adolescent_13_18_hebrew_100qa.csv,2026-01-22 16:53:23.892157+00,2026-01-30 10:31:31.587105+00,"'adolescent':11 'bl23':8 'gb34':10 'st36':9 'בברכיים':3 'גדילה':2,5 'חסרות':7 'כאבי':1,4 'כליות':6","[""כאבי"",""גדילה כליות"",""גדילה בברכיים"",""בברכיים"",""חסרות"",""גדילה"",""כליות"",""כאב"",""כאבי גדילה""]",2026-01-30 10:31:31.587105+00
30,adolescent,ביטחון עצמי נמוך בגיל 16?,"ביטחון (כליות פחד) - KI3, REN4, HT7.","[""HT7"",""REN4"",""KI3""]",KI3: כליות | REN4: דאנטיאן | HT7: ביטחון,גן לון טאנג (甘露汤) - מרגיע פחד נעורים,adolescent_13_18_hebrew_100qa.csv,2026-01-22 16:53:23.892157+00,2026-01-30 10:31:31.587105+00,"'16':5 'adolescent':12 'ht7':11 'ki3':9 'ren4':10 'בגיל':4 'ביטחון':1,6 'כליות':7 'נמוך':3 'עצמי':2 'פחד':8","[""עצמי"",""עצמי נמוך"",""נמוך"",""כליות פחד"",""כליות"",""ביטחון"",""נמוך בגיל"",""פחד"",""בגיל"",""ביטחון עצמי"",""ביטחון כליות""]",2026-01-30 10:31:31.587105+00
87,adult,לחץ עבודה 30+ - כאבי ראש?,"לחץ עבודה (כבד קי תקוע) - LV3, GB20, LI4.","[""LV3"",""LI4"",""GB20""]",LV3: מפזר קי כבד | GB20: ראש | LI4: שער,שיאו יאו סאן (逍遥散) - לחץ קריירה,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,"'30':3 'adult':14 'gb20':12 'li4':13 'lv3':11 'כאבי':4 'כבד':8 'לחץ':1,6 'עבודה':2,7 'קי':9 'ראש':5 'תקוע':10","[""ראש"",""כאבי ראש"",""עבודה"",""כאבי"",""תקוע"",""עבודה כבד"",""עבודה כאבי"",""כאב"",""כבד קי"",""כבד"",""לחץ עבודה"",""לחץ""]",2026-01-30 10:31:31.587105+00
88,adult,עייפות כרונית 40+?,"עייפות (קי טחול חסר) - ST36, SP6, REN4.","[""SP6"",""REN4"",""ST36""]",ST36: קי | SP6: טחול | REN4: דאנטיאן,סי ג'ון זי טאנג (四君子汤) - עייפות מבוגרים,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,"'40':3 'adult':11 'ren4':10 'sp6':9 'st36':8 'חסר':7 'טחול':6 'כרונית':2 'עייפות':1,4 'קי':5","[""טחול חסר"",""טחול"",""עייפות כרונית"",""קי טחול"",""עייפות קי"",""עייפות"",""כרונית""]",2026-01-30 10:31:31.587105+00
89,adult,מיקוד נמוך בעבודה?,"מיקוד (טחול חלש) - ST36, SP6, DU20.","[""SP6"",""ST36"",""DU20""]",ST36: יי | SP6: ריכוז | DU20: מוח,גו פי באן שיה (固脾补肾汤) - מיקוד עבודה,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,"'adult':10 'du20':9 'sp6':8 'st36':7 'בעבודה':3 'חלש':6 'טחול':5 'מיקוד':1,4 'נמוך':2","[""חלש"",""מיקוד נמוך"",""מיקוד טחול"",""טחול"",""בעבודה"",""נמוך"",""מיקוד"",""נמוך בעבודה"",""טחול חלש""]",2026-01-30 10:31:31.587105+00
