id,pulse_type_id,pulse_name_he,pulse_name_en,pulse_name_cn,pinyin,category,depth,speed,strength,characteristics,indicates_pattern,organs_affected,clinical_significance,severity,example_combinations,created_at,asset_type,search_keywords_hebrew,embedding
57,floating,צף,Floating,Fu,Fú,excess,שטחי,רגיל,חזק,מורגש מיד במגע קל; נחלש או נעלם בלחץ עמוק; כמו עץ צף על מים,"[""הצטננות או שפעת"",""חום עם הזעה"",""כאבי ראש""]",,"דופק המורגש בעוצמה בלחץ קל, אך נחלש עם לחץ עמוק יותר. מעיד על מחלה חיצונית",,"טיפול: גירוש פתוגן חיצוני; לשון: חיפוי לבן דק; דופקים קשורים: Tight, Rapid",2026-01-28 15:58:27.618015,pulse,"[""צף"",""Floating"",""Fú"",""עודף"",""הצטננות או שפעת"",""חום עם הזעה"",""כאבי ראש""]",
58,rapid,מהיר,Rapid,Shuo,Shuò,heat,אמצעי,מהיר,חזק,יותר מ-90 פעימות לדקה,"[""חום בדם"",""זיהומים""]",,דופק במקצב מהיר. מעיד על חום,,טיפול: צינון חום; לשון: אדומה; דופקים קשורים: Full,2026-01-28 15:58:27.618015,pulse,"[""מהיר"",""Rapid"",""Shuò"",""חום"",""חום בדם"",""זיהומים""]",
59,wiry,מיתרי,Wiry,Xian,Xián,stagnation,אמצעי,רגיל,חזק,מתוח וקשיח,"[""כאבי ראש"",""PMS""]",,דופק מתוח. סטגנציית Qi בכבד,,טיפול: החלקת Qi; לשון: אדומה בצדדים; דופקים קשורים: Tight,2026-01-28 15:58:27.618015,pulse,"[""מיתרי"",""Wiry"",""Xián"",""סטגנציה"",""כאבי ראש"",""PMS""]",
60,deep,עמוק,Deep,Chen,Chén,deficiency,עמוק,רגיל,חלש,אינו מורגש בלחץ קל; נדרש לחץ עמוק; כמו אבן בתחתית המים,"[""מחלות כרוניות"",""חוסר יאנג"",""כאב פנימי""]",,דופק המורגש רק בלחץ חזק. מצביע על מחלה פנימית,,"טיפול: חימום פנימי; לשון: חיוורת; דופקים קשורים: Weak, Slow",2026-01-28 16:17:36.005265,pulse,"[""עמוק"",""Deep"",""Chén"",""חוסר"",""מחלות כרוניות"",""חוסר יאנג"",""כאב פנימי""]",
61,slow,איטי,Slow,Chi,Chí,cold,אמצעי,איטי,בינוני,פחות מ-60 פעימות לדקה; מקצב רגוע,"[""קור פנימי"",""חוסר יאנג""]",,דופק במקצב איטי. מצביע על קור,,טיפול: חימום יאנג; לשון: חיוורת; דופקים קשורים: Deep,2026-01-28 16:17:36.005265,pulse,"[""איטי"",""Slow"",""Chí"",""קור"",""קור פנימי"",""חוסר יאנג""]",
62,empty,ריק,Empty,Xu,Xū,deficiency,אמצעי,רגיל,חלש,חלש בכל העומקים; רך ודק,"[""תשישות"",""אנמיה""]",,דופק חלש וריק. חוסר Qi ודם,,טיפול: תמיכה והזנה; לשון: חיוורת; דופקים קשורים: Fine,2026-01-28 16:17:36.005265,pulse,"[""ריק"",""Empty"",""Xū"",""חוסר"",""תשישות"",""אנמיה""]",
63,full,מלא,Full,Shi,Shí,excess,אמצעי,רגיל,חזק,חזק בכל העומקים,"[""סטגנציה"",""לחות-חום""]",,דופק חזק ומלא. עודף פתוגני,,טיפול: טיהור עודף; לשון: חיפוי עבה; דופקים קשורים: Slippery,2026-01-28 16:17:36.005265,pulse,"[""מלא"",""Full"",""Shí"",""עודף"",""סטגנציה"",""לחות-חום""]",
64,slippery,מתגלגל,Slippery,Hua,Huá,damp,אמצעי,רגיל,בינוני,זורם בצורה חלקה,"[""הצטברות ליחה""]",,"דופק חלקלק. לחות, ליחה",,טיפול: פירוק לחות; לשון: חיפוי שומני; דופקים קשורים: Full,2026-01-28 16:17:36.005265,pulse,"[""מתגלגל"",""Slippery"",""Huá"",""לחות"",""הצטברות ליחה""]",
65,choppy,מחוספס,Choppy,Se,Sè,stagnation,אמצעי,רגיל,בינוני,זרימה לא חלקה,"[""סטגנציה"",""יובש""]",,דופק לא חלק. סטגנציית דם,,טיפול: הזזת דם; לשון: סגולה; דופקים קשורים: Fine,2026-01-28 16:17:36.005265,pulse,"[""מחוספס"",""Choppy"",""Sè"",""סטגנציה"",""סטגנציה"",""יובש""]",
66,tight,מתוח,Tight,Jin,Jǐn,cold,אמצעי,רגיל,חזק,מהודק וחזק,"[""קור פתוגני""]",,"דופק מהודק. קור, כאב",,טיפול: חימום; לשון: חיפוי לבן; דופקים קשורים: Wiry,2026-01-28 16:17:36.005265,pulse,"[""מתוח"",""Tight"",""Jǐn"",""קור"",""קור פתוגני""]",
67,fine,דק,Fine,Xi,Xì,deficiency,אמצעי,רגיל,חלש,דק כחוט,"[""חוסר דם""]",,דופק דק. חוסר דם,,טיפול: הזנת דם; לשון: חיוורת; דופקים קשורים: Weak,2026-01-28 16:17:36.005265,pulse,"[""דק"",""Fine"",""Xì"",""חוסר"",""חוסר דם""]",
68,weak,חלש,Weak,Ruo,Ruò,deficiency,אמצעי,רגיל,חלש,חלש ורופף,"[""תשישות""]",,דופק חלש. חוסר Qi,,טיפול: חיזוק Qi; לשון: חיוורת; דופקים קשורים: Deep,2026-01-28 16:17:36.005265,pulse,"[""חלש"",""Weak"",""Ruò"",""חוסר"",""תשישות""]",
