id,tongue_finding_id,aspect,finding_he,finding_en,finding_cn,characteristics,indicates_pattern,organs_affected,clinical_significance,severity,treatment_principle,example_combinations,created_at,asset_type,search_keywords_hebrew,embedding
67,pale_tongue,צבע גוף,לשון חיוורת,Pale Tongue,Dàn Bái Shé,חיוורת יותר מהרגיל; חסרת חיות; עשויה להיות מעט נפוחה,"[""חוסר דם"",""חוסר צי"",""חוסר יאנג""]","[""טחול"",""לב"",""כליות""]","מצביעה על חוסר דם או צי, לעיתים קור פנימי. מצביע על: חוסר דם, חוסר צי, חוסר יאנג",בינוני,"חיזוק דם וצי, חימום יאנג","מצבים: אנמיה, תשישות, קור בגפיים, סחרחורות; טיפול: חיזוק דם וצי, חימום יאנג",2026-01-28 16:35:01.290655,tongue,"[""לשון חיוורת"",""Pale Tongue"",""צבע גוף"",""deficiency"",""חוסר דם"",""חוסר צי"",""חוסר יאנג"",""אנמיה"",""תשישות""]",
68,red_tongue,צבע גוף,לשון אדומה,Red Tongue,Hóng Shé,אדומה יותר מהרגיל; בעלת גוון אדום בהיר; עשויה להיות יבשה,"[""חום בדם"",""חום בלב"",""אש ריקה""]","[""לב"",""כליות"",""כבד""]","מצביעה על חום בגוף, במיוחד חום ריק אם אין ציפוי. מצביע על: חום בדם, חום בלב, אש ריקה",בינוני-גבוה,"צינון חום, הזנת יין","מצבים: חום גבוה, נדודי שינה, הזעות לילה, חרדה; טיפול: צינון חום, הזנת יין",2026-01-28 16:35:01.290655,tongue,"[""לשון אדומה"",""Red Tongue"",""צבע גוף"",""heat"",""חום בדם"",""חום בלב"",""אש ריקה"",""חום גבוה"",""נדודי שינה""]",
69,deep_red_tongue,צבע גוף,לשון אדומה כהה,Deep Red Tongue,Shēn Hóng Shé,אדומה כהה מאוד; יבשה; עשויה להיות סדוקה,"[""חום קיצוני"",""חום בדם"",""אש עודפת""]","[""לב"",""כבד""]","חום חמור בגוף, סכנה לנוזלי גוף. מצביע על: חום קיצוני, חום בדם, אש עודפת",גבוה,"צינון חום דחוף, הגנה על נוזלים","מצבים: חום גבוה מאוד, דליריום, דימומים, צמא עז; טיפול: צינון חום דחוף, הגנה על נוזלים",2026-01-28 16:35:01.290655,tongue,"[""לשון אדומה כהה"",""Deep Red Tongue"",""צבע גוף"",""heat"",""חום קיצוני"",""חום בדם"",""אש עודפת"",""חום גבוה מאוד"",""דליריום""]",
70,purple_tongue,צבע גוף,לשון סגולה,Purple Tongue,Zǐ Shé,גוון סגלגל; עשויה להיות כהה; לעיתים עם נקודות,"[""סטגנציית דם"",""קור פנימי"",""סטגנציית צי""]","[""לב"",""כבד"",""מחמם אמצעי""]","חסימת זרימת דם וצי, עשויה להצביע על כאב כרוני. מצביע על: סטגנציית דם, קור פנימי, סטגנציית צי",בינוני-גבוה,"הזזת דם וצי, חימום אם יש קור","מצבים: כאבים קבועים, דיסמנוריאה, קרישי דם בווסת; טיפול: הזזת דם וצי, חימום אם יש קור",2026-01-28 16:35:01.290655,tongue,"[""לשון סגולה"",""Purple Tongue"",""צבע גוף"",""stagnation"",""סטגנציית דם"",""קור פנימי"",""סטגנציית צי"",""כאבים קבועים"",""דיסמנוריאה""]",
71,thin_white_coating,ציפוי,לשון עם ציפוי לבן דק,Thin White Coating,Báo Bái Tāi,ציפוי דק לבן; שקוף חלקית; מפוזר באופן שווה,"[""מצב תקין"",""פתוגן חיצוני קל""]","[""ריאות"",""קיבה""]","תקין או תחילת מחלה חיצונית. מצביע על: מצב תקין, פתוגן חיצוני קל",נמוך,אין צורך או גירוש קל של רוח-קור,"מצבים: בריאות תקינה, התחלת הצטננות; טיפול: אין צורך או גירוש קל של רוח-קור",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי לבן דק"",""Thin White Coating"",""ציפוי"",""normal"",""מצב תקין"",""פתוגן חיצוני קל"",""בריאות תקינה"",""התחלת הצטננות""]",
72,thick_white_coating,ציפוי,לשון עם ציפוי לבן עבה,Thick White Coating,Hòu Bái Tāi,ציפוי עבה לבן; מכסה את הלשון; שומני או יבש,"[""קור פנימי"",""לחות-קור"",""ליחה""]","[""טחול"",""קיבה"",""ריאות""]","הצטברות קור ולחות בגוף. מצביע על: קור פנימי, לחות-קור, ליחה",בינוני,חימום ופירוק לחות,"מצבים: בחילות, שלשולים מימיים, ליחה לבנה, קור בבטן; טיפול: חימום ופירוק לחות",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי לבן עבה"",""Thick White Coating"",""ציפוי"",""cold"",""קור פנימי"",""לחות-קור"",""ליחה"",""בחילות"",""שלשולים מימיים""]",
73,thin_yellow_coating,ציפוי,לשון עם ציפוי צהוב דק,Thin Yellow Coating,Báo Huáng Tāi,ציפוי דק צהוב; יבש; מפוזר באופן שווה,"[""חום קל"",""חום חיצוני"",""רוח-חום""]","[""ריאות"",""קיבה""]","חום בשלבים התחלתיים. מצביע על: חום קל, חום חיצוני, רוח-חום",נמוך-בינוני,צינון קל של חום,"מצבים: חום קל, כאב גרון, צמא קל; טיפול: צינון קל של חום",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי צהוב דק"",""Thin Yellow Coating"",""ציפוי"",""heat"",""חום קל"",""חום חיצוני"",""רוח-חום"",""חום קל"",""כאב גרון""]",
74,thick_yellow_coating,ציפוי,לשון עם ציפוי צהוב עבה,Thick Yellow Coating,Hòu Huáng Tāi,ציפוי עבה צהוב; מכסה את הלשון; יבש או שומני,"[""חום פנימי"",""לחות-חום"",""חום עודף""]","[""קיבה"",""מעיים"",""כבד"",""כיס מרה""]","חום פנימי משמעותי עם או בלי לחות. מצביע על: חום פנימי, לחות-חום, חום עודף",בינוני-גבוה,צינון חום ופירוק לחות,"מצבים: עצירות, צרבת, טעם מר בפה, חום גבוה; טיפול: צינון חום ופירוק לחות",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי צהוב עבה"",""Thick Yellow Coating"",""ציפוי"",""heat"",""חום פנימי"",""לחות-חום"",""חום עודף"",""עצירות"",""צרבת""]",
75,peeled_tongue,ציפוי,לשון ללא ציפוי,Peeled Tongue,Bō Luò Shé,חסרת ציפוי; מבריקה; עשויה להיות אדומה,"[""חוסר יין"",""חוסר צי קיבה"",""אש ריקה""]","[""קיבה"",""כליות"",""כבד""]","חוסר נוזלים וצי בגוף, במיוחד יין. מצביע על: חוסר יין, חוסר צי קיבה, אש ריקה",בינוני-גבוה,הזנת יין ונוזלים,"מצבים: יובש בפה, הזעות לילה, הרעה בערב, תיאבון ירוד; טיפול: הזנת יין ונוזלים",2026-01-28 16:35:01.290655,tongue,"[""לשון ללא ציפוי"",""Peeled Tongue"",""ציפוי"",""deficiency"",""חוסר יין"",""חוסר צי קיבה"",""אש ריקה"",""יובש בפה"",""הזעות לילה""]",
76,swollen_tongue,צורה,לשון נפוחה,Swollen Tongue,Zhǒng Dà Shé,נפוחה מהרגיל; סימני שיניים בצדדים; רכה,"[""לחות"",""חוסר צי טחול"",""חוסר יאנג""]","[""טחול"",""כליות""]","הצטברות לחות בגוף, חולשת טחול. מצביע על: לחות, חוסר צי טחול, חוסר יאנג",בינוני,חיזוק טחול ופירוק לחות,"מצבים: נפיחויות, עייפות, שלשולים רפים, משקל עודף; טיפול: חיזוק טחול ופירוק לחות",2026-01-28 16:35:01.290655,tongue,"[""לשון נפוחה"",""Swollen Tongue"",""צורה"",""damp"",""לחות"",""חוסר צי טחול"",""חוסר יאנג"",""נפיחויות"",""עייפות""]",
