id,question_id,symptom_option,question_text_he,option_text_he,pattern_indication,severity_score,primary_acupoints,secondary_acupoints,meridians_affected,affected_body_parts,organ_systems,symptom_explanation_he,symptom_explanation_en,tcm_mechanism,treatment_principle,created_at,updated_at
1,energy_level,very_low,כיצד האנרגיה הכללית שלך במהלך היום?,"נמוכה מאוד, מותש/ת",qi_def,4,"[""ST-36"",""SP-6"",""CV-6"",""BL-20"",""BL-23""]","[""CV-4"",""CV-12"",""ST-25"",""GV-4""]","[""spleen_meridian"",""stomach_meridian"",""kidney_meridian"",""conception_vessel""]","[""abdomen"",""lower_back"",""legs"",""spleen"",""stomach""]","[""spleen"",""stomach"",""kidney""]",תשישות קיצונית מעידה על חוסר צ'י בטחול ובקיבה - הגוף אינו מייצר מספיק אנרגיה מהמזון,,Spleen and Stomach Qi deficiency leads to insufficient production of post-natal Qi. Kidney Qi may also be depleted,"Tonify Spleen and Stomach Qi, support Kidney Yang",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
2,energy_level,low,כיצד האנרגיה הכללית שלך במהלך היום?,נמוכה למדי,yang_def,2,"[""ST-36"",""SP-6"",""CV-4"",""BL-23""]","[""CV-6"",""GV-4"",""KI-3""]","[""spleen_meridian"",""stomach_meridian"",""kidney_meridian""]","[""abdomen"",""lower_back"",""legs""]","[""spleen"",""kidney""]",אנרגיה נמוכה עם נטייה להרגיש קר - חוסר יאנג בטחול וכליות,,Mild Yang deficiency affecting Spleen and Kidney Yang transformation,Tonify and warm Spleen and Kidney Yang,2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
3,energy_level,high_agitated,כיצד האנרגיה הכללית שלך במהלך היום?,גבוהה עם חוסר מנוחה או תסיסה,yang_excess,3,"[""LR-3"",""LR-2"",""HT-7"",""PC-6"",""SP-6""]","[""GB-20"",""GB-34"",""LI-4"",""ST-36""]","[""liver_meridian"",""heart_meridian"",""pericardium_meridian""]","[""liver"",""head"",""chest"",""legs""]","[""liver"",""heart""]",אנרגיה מוגברת עם חוסר שקט - עודף יאנג או סטגנציה בכבד העולה כלפי מעלה,,Liver Yang rising or Liver Qi stagnation transforming into Heat. May involve Heart Fire,"Calm Liver, clear Heat, settle Yang, nourish Heart",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
4,temperature_preference,very_cold,האם את/ה בדרך כלל מרגיש/ה יותר קר או חם בהשוואה לאנשים אחרים?,"לעתים קרובות מרגיש/ה קר, לא אוהב/ת קור",yang_def,4,"[""CV-4"",""CV-6"",""GV-4"",""KI-3"",""KI-7"",""ST-36"",""BL-23""]","[""SP-6"",""BL-20"",""CV-8""]","[""conception_vessel"",""governing_vessel"",""kidney_meridian"",""stomach_meridian""]","[""lower_abdomen"",""lower_back"",""hands"",""feet"",""whole_body""]","[""kidney"",""spleen""]","הרגשת קור קבועה - חוסר יאנג בכליות ובטחול, הגוף לא מצליח לחמם את עצמו",,Kidney and Spleen Yang deficiency - insufficient Yang Qi to warm the body and extremities,"Strongly tonify and warm Kidney Yang, support Spleen Yang, warm Ming Men",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
5,temperature_preference,slightly_cold,האם את/ה בדרך כלל מרגיש/ה יותר קר או חם בהשוואה לאנשים אחרים?,מעט יותר קר מאחרים,yang_def,2,"[""ST-36"",""SP-6"",""CV-4"",""KI-3""]","[""CV-6"",""BL-23"",""GV-4""]","[""spleen_meridian"",""stomach_meridian"",""kidney_meridian""]","[""abdomen"",""legs"",""back""]","[""spleen"",""kidney""]",נטייה קלה להרגיש קר - חוסר יאנג קל בטחול או כליות,,"Mild Yang deficiency, primarily affecting Spleen or Kidney",Tonify Spleen and Kidney Yang gently,2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
6,temperature_preference,hot,האם את/ה בדרך כלל מרגיש/ה יותר קר או חם בהשוואה לאנשים אחרים?,"לעתים קרובות מרגיש/ה חם, לא אוהב/ת חום",yang_excess,3,"[""LI-11"",""LI-4"",""ST-44"",""LR-2"",""GB-20""]","[""GV-14"",""LI-10"",""SP-10"",""BL-40""]","[""large_intestine_meridian"",""stomach_meridian"",""liver_meridian""]","[""face"",""head"",""upper_body"",""hands""]","[""stomach"",""large_intestine"",""liver""]","הרגשת חום מתמדת - עודף יאנג או חום בקיבה, מעיים, או כבד",,"Excess Heat in Stomach, Large Intestine, or Liver. May be Yang Ming Heat","Clear Heat, drain Fire, cool Blood",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
7,temperature_preference,evening_hot,האם את/ה בדרך כלל מרגיש/ה יותר קר או חם בהשוואה לאנשים אחרים?,יותר חום בערב או בלילה,yin_def,4,"[""KI-3"",""KI-6"",""SP-6"",""HT-6"",""LU-7""]","[""KI-2"",""HT-7"",""PC-6"",""LR-3""]","[""kidney_meridian"",""heart_meridian"",""spleen_meridian""]","[""chest"",""palms"",""soles"",""face""]","[""kidney"",""heart"",""liver""]","חום בערב - חוסר יין עם חום מחסור, במיוחד בכליות ולב",,Kidney and Heart Yin deficiency with deficiency Heat rising in afternoon/evening,"Nourish Yin, clear deficiency Heat, especially Kidney and Heart Yin",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
8,cold_sensitivity,marked,האם יש לך ידיים/רגליים קרות או הרגשת קור בגב התחתון/בטן?,לעתים קרובות ובאופן ברור,yang_def,4,"[""KI-3"",""KI-7"",""ST-36"",""CV-4"",""CV-6"",""GV-4"",""BL-23""]","[""SP-6"",""LR-3"",""PC-6"",""CV-8""]","[""kidney_meridian"",""stomach_meridian"",""conception_vessel"",""governing_vessel""]","[""hands"",""feet"",""lower_back"",""lower_abdomen""]","[""kidney"",""spleen""]","ידיים ורגליים קרות - חוסר יאנג בכליות, הגוף לא מצליח לחמם את הגפיים",,Kidney Yang deficiency fails to warm extremities. Yang Qi cannot reach the four limbs,"Strongly warm and tonify Kidney Yang, warm Ming Men Fire, promote circulation to limbs",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
9,cold_sensitivity,mild,האם יש לך ידיים/רגליים קרות או הרגשת קור בגב התחתון/בטן?,לפעמים,yang_def,2,"[""ST-36"",""SP-6"",""KI-3"",""CV-4""]","[""KI-7"",""BL-23"",""GV-4""]","[""kidney_meridian"",""spleen_meridian"",""stomach_meridian""]","[""hands"",""feet"",""abdomen""]","[""kidney"",""spleen""]","נטייה לקור בגפיים - חוסר יאנג קל, במיוחד בזרימה להברות",,Mild Yang deficiency affecting circulation to extremities,"Tonify Yang, warm and promote circulation",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
10,heat_sensation,pm_heat,"האם את/ה חווה תחושות של חום (כפות ידיים, כפות רגליים, חזה, פנים)?",יותר אחר הצהריים/ערב,yin_def,4,"[""KI-3"",""KI-6"",""KI-2"",""SP-6"",""HT-6""]","[""LR-3"",""HT-7"",""PC-6"",""ST-44""]","[""kidney_meridian"",""heart_meridian"",""spleen_meridian""]","[""palms"",""soles"",""chest"",""face""]","[""kidney"",""heart"",""liver""]",חום בערב (5 Palm Heat) - חוסר יין בכליות ולב עם חום מחסור,,Kidney and Heart Yin deficiency with deficiency Heat. Characteristic afternoon tidal fever pattern,"Nourish Yin, clear deficiency Heat, especially Kidney and Heart",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
