id,table_name,table_name_old,display_name_en,display_name_he,category,is_rag_asset,asset_type,api_priority,search_weight,enabled_in_search,is_protected,protection_level,last_backup_date,description_en,description_he,row_count,estimated_size,created_date,last_modified,cataloged_at,notes,maintenance_notes
1,bible_rag_dr_roni_knowledge_20260129,dr_roni_bible,Dr. Roni Bible - Core TCM Knowledge,ספר דר רוני - ידע ליבה ברפואה סינית,bible,true,knowledge,1,10,true,true,critical,2026-01-29 17:53:48.327033+00,Translated TCM knowledge from English PDFs - 10 days of work,ידע מתורגם ברפואה סינית מקבצי PDF באנגלית - 10 ימי עבודה,2172,3536 kB,2026-01-29,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,"Cleaned up 9 junk tables during reorganization: 3 backups, 3 duplicate acupoints, 3 unused tables"
2,bible_rag_zangfu_syndromes_20260129,zangfu_syndromes,Zang-Fu Syndromes - Core Diagnosis,תסמונות זאנג-פו - אבחון ליבה,bible,true,knowledge,2,9,true,true,critical,2026-01-29 17:53:48.327033+00,Core Zang-Fu syndrome patterns and diagnoses,דפוסי תסמונות זאנג-פו ואבחנות ליבה,15,848 kB,2026-01-24,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,
3,bible_rag_clinical_cases_20260129,qa_knowledge_base,Clinical Cases - Module 2 RAG CSV Files,מקרים קליניים - מודול 2 קבצי RAG CSV,bible,true,knowledge,3,8,true,true,important,2026-01-29 17:53:48.327033+00,"7,789 clinical cases: 5,124 original + 2,665 from 33 Module 2 CSV files covering modern TCM topics","7,789 מקרים קליניים: 5,124 מקוריים + 2,665 מ-33 קבצי CSV מודול 2 המכסים נושאי TCM מודרניים",7789,~1.5 MB,2026-01-24,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,"Original 5,124 cases + Module 2 (33 files): 2,665 cases. Categories: high_energy_states, social_media_overuse, supplements, cognitive_overload, anxiety_therapist, retreat_recommendations, antidepressant_overuse, elderly_neuro, alternative_trends, western_diets, anxiety_depression, oncology_support, cardiology, eastern_treatments, university_syllabus, adult_18_70, adolescent_13_18, elderly_care_70_120, herbs, general_health, breastfeeding, pregnancy, pediatrics, first_aid, sports_recovery, allergies, tcm_natural_healing, natural_healing, extreme_weather, state_management, astrology, skin_diseases, nutrition",
4,bible_rag_training_syllabus_20260129,tcm_training_syllabus,TCM Training Syllabus,סילבוס הכשרה ברפואה סינית,bible,true,knowledge,4,7,true,true,important,2026-01-29 17:53:48.327033+00,48 training topics and Q&A for TCM education,48 נושאי הכשרה ושאלות ותשובות לחינוך ברפואה סינית,48,120 kB,2026-01-25,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,
5,diagnostic_rag_pulse_patterns_20260129,tcm_pulse_diagnosis,Pulse Diagnosis Patterns,דפוסי אבחון דופק,diagnostic,true,diagnostic,5,6,true,true,important,2026-01-29 17:53:48.327033+00,23 pulse patterns with characteristics and significance,23 דפוסי דופק עם מאפיינים ומשמעות קלינית,23,112 kB,2026-01-24,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,
6,diagnostic_rag_tongue_findings_20260129,tcm_tongue_diagnosis,Tongue Diagnosis Findings,ממצאי אבחון לשון,diagnostic,true,diagnostic,6,6,true,true,important,2026-01-29 17:53:48.327033+00,20 tongue findings with clinical significance,20 ממצאי לשון עם משמעות קלינית,20,128 kB,2026-01-24,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,
7,diagnostic_rag_yinyang_symptoms_20260129,yin_yang_symptoms,Yin-Yang Symptoms,תסמיני יין-יאנג,diagnostic,true,diagnostic,7,5,true,false,standard,,30 yin-yang symptom patterns,30 דפוסי תסמינים של יין-יאנג,30,128 kB,2026-01-24,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,
8,diagnostic_rag_yinyang_protocols_20260129,yin_yang_pattern_protocols,Yin-Yang Treatment Protocols,פרוטוקולי טיפול יין-יאנג,diagnostic,true,diagnostic,8,4,true,false,standard,,5 yin-yang pattern treatment protocols,5 פרוטוקולי טיפול לדפוסי יין-יאנג,5,64 kB,2026-01-24,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,
9,diagnostic_rag_yinyang_definitions_20260129,yin_yang_pattern_definitions,Yin-Yang Pattern Definitions,הגדרות דפוסי יין-יאנג,diagnostic,true,diagnostic,9,4,true,false,standard,,Definitions of yin-yang patterns,הגדרות של דפוסי יין-יאנג,,48 kB,2026-01-24,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,
10,treatment_rag_acupoints_gallery_20260129,dr_roni_complete,Acupoints Gallery - 341 Points,גלריית נקודות דיקור - 341 נקודות,treatment,true,treatment,10,10,true,true,critical,2026-01-29 17:53:48.327033+00,341 acupuncture points from dr_roni_complete table,341 נקודות דיקור מטבלת dr_roni_complete,341,1536 kB,2026-01-27,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,Source: dr_roni_complete (not module_3 which didn't exist in backup),
11,treatment_rag_acupoint_warnings_20260129,acupuncture_point_warnings,Acupoint Safety Warnings,אזהרות בטיחות לנקודות דיקור,treatment,true,treatment,11,3,true,true,critical,2026-01-29 17:53:48.327033+00,90 safety warnings for acupuncture points,90 אזהרות בטיחות לנקודות דיקור,90,72 kB,2026-01-24,2026-01-29 17:39:31.35402+00,2026-01-29 17:39:31.35402+00,,
