id,point_number,warning_level,explanation,point_number_hebrew,created_at
1,CV8 (Shenque),🔴 RED - TOTAL STOP,"Absolute contraindication - NO NEEDLING EVER. Umbilicus point. Risk of infection, bowel perforation, and severe adverse events. Moxa only may be used externally.",CV8 (Shenque),2026-01-24 13:03:46.192
2,LV12 (Jimai),🔴 RED - TOTAL STOP,"Absolute contraindication - NO NEEDLING. Located near femoral artery and vein. High risk of vascular damage, severe bleeding, and hematoma formation.",LV12 (Jimai),2026-01-24 13:03:46.192
3,ST17 (Ruzhong),🔴 RED - TOTAL STOP,"NO NEEDLING - nipple center point. Risk of breast tissue damage, infection, and scarring. No therapeutic value. Oblique insertion near area only if needed.",ST17 (Ruzhong),2026-01-24 13:03:46.192
4,LI4 (Hegu),🔴 RED - PREGNANCY FORBIDDEN,Strongly moves Qi and induces uterine contractions. Can cause miscarriage or premature labor. CONTRAINDICATED until labor induction at full term (37+ weeks). Safe postpartum.,LI4 (Hegu),2026-01-24 13:03:46.192
5,SP6 (Sanyinjiao),🔴 RED - PREGNANCY FORBIDDEN,Stimulates uterus and moves Blood strongly in lower abdomen. Risk of miscarriage and premature labor. CONTRAINDICATED before 37 weeks. Used for labor induction.,SP6 (Sanyinjiao),2026-01-24 13:03:46.192
6,BL60 (Kunlun),🔴 RED - PREGNANCY FORBIDDEN,Strongly descends Qi and moves Blood. Can induce uterine contractions and premature labor. FORBIDDEN during pregnancy. Safe for labor induction.,BL60 (Kunlun),2026-01-24 13:03:46.192
7,GB21 (Jianjing),🔴 RED - PREGNANCY FORBIDDEN + HEART DISEASE,Strongly descends Qi and can induce labor. CONTRAINDICATED in pregnancy before 37 weeks. Also FORBIDDEN in patients with heart disease history - can trigger cardiac events.,GB21 (Jianjing),2026-01-24 13:03:46.192
8,BL67 (Zhiyin),🔴 RED - PREGNANCY FORBIDDEN (except breech),Stimulates strong uterine activity. CONTRAINDICATED in pregnancy except for turning breech presentation with moxa at 34-36 weeks. Can induce premature labor.,BL67 (Zhiyin),2026-01-24 13:03:46.192
9,CV3 (Zhongji),🔴 RED - PREGNANCY DEEP NEEDLING FORBIDDEN,"Lower abdomen point above pubic bone. No deep or perpendicular needling in pregnancy - risk of uterine puncture, placental damage, fetal harm. Shallow oblique only if absolutely necessary.",CV3 (Zhongji),2026-01-24 13:03:46.192
10,CV4 (Guanyuan),🔴 RED - PREGNANCY DEEP NEEDLING FORBIDDEN,Strongly tonifies original Qi and affects uterus. No deep needling in pregnancy - risk of uterine damage and labor induction. Contraindicated perpendicular insertion in advanced pregnancy.,CV4 (Guanyuan),2026-01-24 13:03:46.192
11,CV5 (Shimen),🔴 RED - PREGNANCY DEEP NEEDLING FORBIDDEN,Located near bladder and reproductive organs. No deep needling in pregnancy. Traditional texts warn against use in women desiring future pregnancy - modern practice more nuanced.,CV5 (Shimen),2026-01-24 13:03:46.192
12,CV6 (Qihai),🔴 RED - PREGNANCY DEEP NEEDLING FORBIDDEN,Sea of Qi point - strongly moves Qi in lower abdomen. No deep or perpendicular needling during pregnancy. Risk of uterine stimulation and premature contractions.,CV6 (Qihai),2026-01-24 13:03:46.192
13,CV7 (Yinjiao),🔴 RED - PREGNANCY DEEP NEEDLING FORBIDDEN,Intersection of Yin meridians in lower abdomen. No deep needling in pregnancy - affects uterus and reproductive system. Can induce contractions.,CV7 (Yinjiao),2026-01-24 13:03:46.192
14,"BL31-34 (Shangliao, Ciliao, Zhongliao, Xialiao)",🔴 RED - PREGNANCY FORBIDDEN,Sacral foramen points - directly affect uterus and pelvic organs. CONTRAINDICATED during pregnancy - strong labor induction effect. Used only at term for delivery.,"BL31-34 (Shangliao, Ciliao, Zhongliao, Xialiao)",2026-01-24 13:03:46.192
15,LU7 (Lieque),🔴 RED - PREGNANCY CAUTION (some sources),"Historically forbidden in pregnancy in some traditions due to descending Qi action. Modern research shows relative safety, but use cautiously before 37 weeks. Strongly moves Qi.",LU7 (Lieque),2026-01-24 13:03:46.192
16,LU1 (Zhongfu),🔴 RED - PNEUMOTHORAX RISK,"Lung alarm point on chest. Lung surface 10-20mm beneath skin. NO DEEP NEEDLING - risk of pneumothorax. Maximum depth 0.5-0.8 cun perpendicular, oblique safer. Requires expert anatomy knowledge.",LU1 (Zhongfu),2026-01-24 13:03:46.192
17,LU2 (Yunmen),🔴 RED - PNEUMOTHORAX RISK,"Upper chest near clavicle. Lung directly beneath. NO DEEP NEEDLING - high pneumothorax risk. Oblique insertion only, maximum 0.3-0.5 cun. Avoid in patients with lung disease.",LU2 (Yunmen),2026-01-24 13:03:46.192
18,GB22 (Yuanye),🔴 RED - PNEUMOTHORAX RISK,"Mid-axillary line on ribcage. Lung very close to surface. NO DEEP NEEDLING - extreme pneumothorax risk. Oblique only, maximum 0.3-0.5 cun. Common site of acupuncture-induced pneumothorax.",GB22 (Yuanye),2026-01-24 13:03:46.192
19,ST12 (Quepen),🔴 RED - PNEUMOTHORAX + VESSEL RISK,"Supraclavicular fossa. Lung apex and subclavian vessels beneath. NO DEEP/PERPENDICULAR needling - risk of pneumothorax, vessel puncture. Oblique only 0.3-0.5 cun. Extreme caution required.",ST12 (Quepen),2026-01-24 13:03:46.192
20,"ST13-16 (Qihu, Kufang, Wuyi, Yingchuang)",🔴 RED - PNEUMOTHORAX RISK,Upper chest points. Lung beneath intercostal spaces. OBLIQUE INSERTION ONLY - no perpendicular needling. Maximum 0.3-0.5 cun oblique. High pneumothorax risk with deep/perpendicular needling.,"ST13-16 (Qihu, Kufang, Wuyi, Yingchuang)",2026-01-24 13:03:46.192
21,ST18 (Rugen),🔴 RED - PNEUMOTHORAX RISK,"Breast root point on lower ribs. Lung beneath. OBLIQUE INSERTION ONLY, maximum 0.3-0.5 cun. No deep needling - pneumothorax risk. Requires careful technique.",ST18 (Rugen),2026-01-24 13:03:46.192
22,CV17 (Shanzhong),🔴 RED - PNEUMOTHORAX + HEART RISK,Sternum midline - heart and lungs beneath. NO PERPENDICULAR NEEDLING. Transverse oblique along sternum only 0.3-0.5 cun. Risk of cardiac tamponade and pneumothorax with deep needling.,CV17 (Shanzhong),2026-01-24 13:03:46.192
23,KD22-27 (Chest Kidney points),🔴 RED - PNEUMOTHORAX + HEART RISK,Chest Kidney meridian points. Lungs and heart beneath. OBLIQUE NEEDLING ONLY. KD22 specifically avoid heart. Pneumothorax and cardiac injury risk with perpendicular/deep needling.,KD22-27 (Chest Kidney points),2026-01-24 13:03:46.192
24,PC1 (Tianchi),🔴 RED - PNEUMOTHORAX RISK,Lateral chest near axilla. Lung close to surface. NO DEEP NEEDLING. Oblique insertion only 0.3-0.5 cun. High risk location for pneumothorax.,PC1 (Tianchi),2026-01-24 13:03:46.192
25,LV14 (Qimen),🔴 RED - PNEUMOTHORAX + LIVER RISK,"Liver alarm point. Lung above, liver below on right side. NO DEEP NEEDLING - pneumothorax and liver puncture risk. Oblique 0.3-0.5 cun only. Extra caution on right side.",LV14 (Qimen),2026-01-24 13:03:46.192
26,GB24 (Riyue),🔴 RED - LIVER/GALLBLADDER PUNCTURE,Gallbladder alarm point below nipple. Liver and gallbladder beneath. NO DEEP NEEDLING - organ puncture risk. Oblique only 0.3-0.5 cun. Peritonitis risk.,GB24 (Riyue),2026-01-24 13:03:46.192
27,ST9 (Renying),🔴 RED - CAROTID ARTERY DANGER,"Carotid pulse point. EXTREME CAUTION - avoid carotid artery. Perpendicular 0.3-0.8 cun ONLY if pulse avoided. Risk of stroke, hematoma, arterial damage. Contraindicated in atherosclerosis, anticoagulation.",ST9 (Renying),2026-01-24 13:03:46.192
28,HT1 (Jiquan),🔴 RED - AXILLARY ARTERY RISK,"Axillary artery center. AVOID ARTERY - palpate and needle beside vessel. Risk of severe bleeding, hematoma, nerve damage. Contraindicated in anticoagulation therapy.",HT1 (Jiquan),2026-01-24 13:03:46.192
29,SP12 (Chongmen),🔴 RED - FEMORAL ARTERY RISK,"Femoral pulse point. AVOID ARTERY - palpate and needle lateral to vessel. Risk of severe bleeding, hematoma, vascular damage. Contraindicated in anticoagulation.",SP12 (Chongmen),2026-01-24 13:03:46.192
30,ST42 (Chongyang),🔴 RED - DORSALIS PEDIS ARTERY,"Dorsal foot pulse point. AVOID ARTERY - needle beside vessel only. Risk of bleeding, hematoma. Contraindicated in anticoagulation and peripheral vascular disease.",ST42 (Chongyang),2026-01-24 13:03:46.192
31,LU9 (Taiyuan),🔴 RED - RADIAL ARTERY CAUTION,"Radial pulse point. AVOID ARTERY - palpate and needle avoiding vessel. Risk of bleeding, hematoma, especially with anticoagulation. Generally safer than other arterial points.",LU9 (Taiyuan),2026-01-24 13:03:46.192
32,ST5 (Daying),🔴 RED - FACIAL ARTERY CAUTION,"Facial artery pulse point. AVOID ARTERY. Risk of hematoma and bleeding, especially in anticoagulated patients or bleeding disorders.",ST5 (Daying),2026-01-24 13:03:46.192
33,GV15 (Yamen),🔴 RED - SPINAL CORD DANGER,"Atlanto-occipital junction. Medulla oblongata and spinal cord beneath. NO DEEP NEEDLING - risk of CNS damage, paralysis, death. Maximum 0.5 cun perpendicular. Absolute expert technique required.",GV15 (Yamen),2026-01-24 13:03:46.192
34,GV16 (Fengfu),🔴 RED - BRAINSTEM DANGER,"Base of skull. Brainstem and cerebellum beneath. NO DEEP NEEDLING - risk of CNS injury, subarachnoid hemorrhage, death. Maximum 0.5-1.0 cun perpendicular. Life-threatening if improper.",GV16 (Fengfu),2026-01-24 13:03:46.192
35,BL10 (Tianzhu),🔴 RED - SPINAL CORD CAUTION,Upper cervical spine region. Spinal cord relatively close. Caution with depth - maximum 0.5-0.8 cun. Risk of spinal cord injury with deep or improper needling.,BL10 (Tianzhu),2026-01-24 13:03:46.192
